ij:: 48,  row_id_ori: 0, col_id_ori: 48, row_id_new: 48, col_id_new: 0, permute_kk: 0, permute_index: 6144 

ij:: 49,  row_id_ori: 0, col_id_ori: 49, row_id_new: 48, col_id_new: 64, permute_kk: 0, permute_index: 6208 

ij:: 50,  row_id_ori: 0, col_id_ori: 50, row_id_new: 50, col_id_new: 0, permute_kk: 0, permute_index: 6400 

ij:: 51,  row_id_ori: 0, col_id_ori: 51, row_id_new: 50, col_id_new: 64, permute_kk: 0, permute_index: 6464 

ij:: 52,  row_id_ori: 0, col_id_ori: 52, row_id_new: 52, col_id_new: 0, permute_kk: 0, permute_index: 6656 

ij:: 53,  row_id_ori: 0, col_id_ori: 53, row_id_new: 52, col_id_new: 64, permute_kk: 0, permute_index: 6720 

ij:: 54,  row_id_ori: 0, col_id_ori: 54, row_id_new: 54, col_id_new: 0, permute_kk: 0, permute_index: 6912 

ij:: 55,  row_id_ori: 0, col_id_ori: 55, row_id_new: 54, col_id_new: 64, permute_kk: 0, permute_index: 6976 

ij:: 56,  row_id_ori: 0, col_id_ori: 56, row_id_new: 56, col_id_new: 0, permute_kk: 0, permute_index: 7168 

ij:: 57,  row_id_ori: 0, col_id_ori: 57, row_id_new: 56, col_id_new: 64, permute_kk: 0, permute_index: 7232 

ij:: 58,  row_id_ori: 0, col_id_ori: 58, row_id_new: 58, col_id_new: 0, permute_kk: 0, permute_index: 7424 

ij:: 59,  row_id_ori: 0, col_id_ori: 59, row_id_new: 58, col_id_new: 64, permute_kk: 0, permute_index: 7488 

ij:: 60,  row_id_ori: 0, col_id_ori: 60, row_id_new: 60, col_id_new: 0, permute_kk: 0, permute_index: 7680 

ij:: 61,  row_id_ori: 0, col_id_ori: 61, row_id_new: 60, col_id_new: 64, permute_kk: 0, permute_index: 7744 

ij:: 62,  row_id_ori: 0, col_id_ori: 62, row_id_new: 62, col_id_new: 0, permute_kk: 0, permute_index: 7936 

ij:: 63,  row_id_ori: 0, col_id_ori: 63, row_id_new: 62, col_id_new: 64, permute_kk: 0, permute_index: 8000 

ij:: 64,  row_id_ori: 1, col_id_ori: 0, row_id_new: 0, col_id_new: 2, permute_kk: 2, permute_index: 2 

ij:: 65,  row_id_ori: 1, col_id_ori: 1, row_id_new: 0, col_id_new: 66, permute_kk: 2, permute_index: 66 

ij:: 66,  row_id_ori: 1, col_id_ori: 2, row_id_new: 2, col_id_new: 2, permute_kk: 2, permute_index: 258 

ij:: 67,  row_id_ori: 1, col_id_ori: 3, row_id_new: 2, col_id_new: 66, permute_kk: 2, permute_index: 322 

ij:: 68,  row_id_ori: 1, col_id_ori: 4, row_id_new: 4, col_id_new: 2, permute_kk: 2, permute_index: 514 

ij:: 69,  row_id_ori: 1, col_id_ori: 5, row_id_new: 4, col_id_new: 66, permute_kk: 2, permute_index: 578 

ij:: 70,  row_id_ori: 1, col_id_ori: 6, row_id_new: 6, col_id_new: 2, permute_kk: 2, permute_index: 770 

ij:: 71,  row_id_ori: 1, col_id_ori: 7, row_id_new: 6, col_id_new: 66, permute_kk: 2, permute_index: 834 

ij:: 72,  row_id_ori: 1, col_id_ori: 8, row_id_new: 8, col_id_new: 2, permute_kk: 2, permute_index: 1026 

ij:: 73,  row_id_ori: 1, col_id_ori: 9, row_id_new: 8, col_id_new: 66, permute_kk: 2, permute_index: 1090 

ij:: 74,  row_id_ori: 1, col_id_ori: 10, row_id_new: 10, col_id_new: 2, permute_kk: 2, permute_index: 1282 

ij:: 75,  row_id_ori: 1, col_id_ori: 11, row_id_new: 10, col_id_new: 66, permute_kk: 2, permute_index: 1346 

ij:: 76,  row_id_ori: 1, col_id_ori: 12, row_id_new: 12, col_id_new: 2, permute_kk: 2, permute_index: 1538 

ij:: 77,  row_id_ori: 1, col_id_ori: 13, row_id_new: 12, col_id_new: 66, permute_kk: 2, permute_index: 1602 

ij:: 78,  row_id_ori: 1, col_id_ori: 14, row_id_new: 14, col_id_new: 2, permute_kk: 2, permute_index: 1794 

ij:: 79,  row_id_ori: 1, col_id_ori: 15, row_id_new: 14, col_id_new: 66, permute_kk: 2, permute_index: 1858 

ij:: 80,  row_id_ori: 1, col_id_ori: 16, row_id_new: 16, col_id_new: 2, permute_kk: 2, permute_index: 2050 

ij:: 81,  row_id_ori: 1, col_id_ori: 17, row_id_new: 16, col_id_new: 66, permute_kk: 2, permute_index: 2114 

ij:: 82,  row_id_ori: 1, col_id_ori: 18, row_id_new: 18, col_id_new: 2, permute_kk: 2, permute_index: 2306 

ij:: 83,  row_id_ori: 1, col_id_ori: 19, row_id_new: 18, col_id_new: 66, permute_kk: 2, permute_index: 2370 

ij:: 84,  row_id_ori: 1, col_id_ori: 20, row_id_new: 20, col_id_new: 2, permute_kk: 2, permute_index: 2562 

ij:: 85,  row_id_ori: 1, col_id_ori: 21, row_id_new: 20, col_id_new: 66, permute_kk: 2, permute_index: 2626 

ij:: 86,  row_id_ori: 1, col_id_ori: 22, row_id_new: 22, col_id_new: 2, permute_kk: 2, permute_index: 2818 

ij:: 87,  row_id_ori: 1, col_id_ori: 23, row_id_new: 22, col_id_new: 66, permute_kk: 2, permute_index: 2882 

ij:: 88,  row_id_ori: 1, col_id_ori: 24, row_id_new: 24, col_id_new: 2, permute_kk: 2, permute_index: 3074 

ij:: 89,  row_id_ori: 1, col_id_ori: 25, row_id_new: 24, col_id_new: 66, permute_kk: 2, permute_index: 3138 

ij:: 90,  row_id_ori: 1, col_id_ori: 26, row_id_new: 26, col_id_new: 2, permute_kk: 2, permute_index: 3330 

ij:: 91,  row_id_ori: 1, col_id_ori: 27, row_id_new: 26, col_id_new: 66, permute_kk: 2, permute_index: 3394 

ij:: 92,  row_id_ori: 1, col_id_ori: 28, row_id_new: 28, col_id_new: 2, permute_kk: 2, permute_index: 3586 

ij:: 93,  row_id_ori: 1, col_id_ori: 29, row_id_new: 28, col_id_new: 66, permute_kk: 2, permute_index: 3650 

ij:: 94,  row_id_ori: 1, col_id_ori: 30, row_id_new: 30, col_id_new: 2, permute_kk: 2, permute_index: 3842 

ij:: 95,  row_id_ori: 1, col_id_ori: 31, row_id_new: 30, col_id_new: 66, permute_kk: 2, permute_index: 3906 

ij:: 96,  row_id_ori: 1, col_id_ori: 32, row_id_new: 32, col_id_new: 2, permute_kk: 2, permute_index: 4098 

ij:: 97,  row_id_ori: 1, col_id_ori: 33, row_id_new: 32, col_id_new: 66, permute_kk: 2, permute_index: 4162 

ij:: 98,  row_id_ori: 1, col_id_ori: 34, row_id_new: 34, col_id_new: 2, permute_kk: 2, permute_index: 4354 

ij:: 99,  row_id_ori: 1, col_id_ori: 35, row_id_new: 34, col_id_new: 66, permute_kk: 2, permute_index: 4418 

ij:: 100,  row_id_ori: 1, col_id_ori: 36, row_id_new: 36, col_id_new: 2, permute_kk: 2, permute_index: 4610 

ij:: 101,  row_id_ori: 1, col_id_ori: 37, row_id_new: 36, col_id_new: 66, permute_kk: 2, permute_index: 4674 

ij:: 102,  row_id_ori: 1, col_id_ori: 38, row_id_new: 38, col_id_new: 2, permute_kk: 2, permute_index: 4866 

ij:: 103,  row_id_ori: 1, col_id_ori: 39, row_id_new: 38, col_id_new: 66, permute_kk: 2, permute_index: 4930 

ij:: 104,  row_id_ori: 1, col_id_ori: 40, row_id_new: 40, col_id_new: 2, permute_kk: 2, permute_index: 5122 

ij:: 105,  row_id_ori: 1, col_id_ori: 41, row_id_new: 40, col_id_new: 66, permute_kk: 2, permute_index: 5186 

ij:: 106,  row_id_ori: 1, col_id_ori: 42, row_id_new: 42, col_id_new: 2, permute_kk: 2, permute_index: 5378 

ij:: 107,  row_id_ori: 1, col_id_ori: 43, row_id_new: 42, col_id_new: 66, permute_kk: 2, permute_index: 5442 

ij:: 108,  row_id_ori: 1, col_id_ori: 44, row_id_new: 44, col_id_new: 2, permute_kk: 2, permute_index: 5634 

ij:: 109,  row_id_ori: 1, col_id_ori: 45, row_id_new: 44, col_id_new: 66, permute_kk: 2, permute_index: 5698 

ij:: 110,  row_id_ori: 1, col_id_ori: 46, row_id_new: 46, col_id_new: 2, permute_kk: 2, permute_index: 5890 

ij:: 111,  row_id_ori: 1, col_id_ori: 47, row_id_new: 46, col_id_new: 66, permute_kk: 2, permute_index: 5954 

ij:: 112,  row_id_ori: 1, col_id_ori: 48, row_id_new: 48, col_id_new: 2, permute_kk: 2, permute_index: 6146 

ij:: 113,  row_id_ori: 1, col_id_ori: 49, row_id_new: 48, col_id_new: 66, permute_kk: 2, permute_index: 6210 

ij:: 114,  row_id_ori: 1, col_id_ori: 50, row_id_new: 50, col_id_new: 2, permute_kk: 2, permute_index: 6402 

ij:: 115,  row_id_ori: 1, col_id_ori: 51, row_id_new: 50, col_id_new: 66, permute_kk: 2, permute_index: 6466 

ij:: 116,  row_id_ori: 1, col_id_ori: 52, row_id_new: 52, col_id_new: 2, permute_kk: 2, permute_index: 6658 

ij:: 117,  row_id_ori: 1, col_id_ori: 53, row_id_new: 52, col_id_new: 66, permute_kk: 2, permute_index: 6722 

ij:: 118,  row_id_ori: 1, col_id_ori: 54, row_id_new: 54, col_id_new: 2, permute_kk: 2, permute_index: 6914 

ij:: 119,  row_id_ori: 1, col_id_ori: 55, row_id_new: 54, col_id_new: 66, permute_kk: 2, permute_index: 6978 

ij:: 120,  row_id_ori: 1, col_id_ori: 56, row_id_new: 56, col_id_new: 2, permute_kk: 2, permute_index: 7170 

ij:: 121,  row_id_ori: 1, col_id_ori: 57, row_id_new: 56, col_id_new: 66, permute_kk: 2, permute_index: 7234 

ij:: 122,  row_id_ori: 1, col_id_ori: 58, row_id_new: 58, col_id_new: 2, permute_kk: 2, permute_index: 7426 

ij:: 123,  row_id_ori: 1, col_id_ori: 59, row_id_new: 58, col_id_new: 66, permute_kk: 2, permute_index: 7490 

ij:: 124,  row_id_ori: 1, col_id_ori: 60, row_id_new: 60, col_id_new: 2, permute_kk: 2, permute_index: 7682 

ij:: 125,  row_id_ori: 1, col_id_ori: 61, row_id_new: 60, col_id_new: 66, permute_kk: 2, permute_index: 7746 

ij:: 126,  row_id_ori: 1, col_id_ori: 62, row_id_new: 62, col_id_new: 2, permute_kk: 2, permute_index: 7938 

ij:: 127,  row_id_ori: 1, col_id_ori: 63, row_id_new: 62, col_id_new: 66, permute_kk: 2, permute_index: 8002 

ij:: 128,  row_id_ori: 2, col_id_ori: 0, row_id_new: 0, col_id_new: 4, permute_kk: 4, permute_index: 4 

ij:: 129,  row_id_ori: 2, col_id_ori: 1, row_id_new: 0, col_id_new: 68, permute_kk: 4, permute_index: 68 

ij:: 130,  row_id_ori: 2, col_id_ori: 2, row_id_new: 2, col_id_new: 4, permute_kk: 4, permute_index: 260 

ij:: 131,  row_id_ori: 2, col_id_ori: 3, row_id_new: 2, col_id_new: 68, permute_kk: 4, permute_index: 324 

ij:: 132,  row_id_ori: 2, col_id_ori: 4, row_id_new: 4, col_id_new: 4, permute_kk: 4, permute_index: 516 

ij:: 133,  row_id_ori: 2, col_id_ori: 5, row_id_new: 4, col_id_new: 68, permute_kk: 4, permute_index: 580 

ij:: 134,  row_id_ori: 2, col_id_ori: 6, row_id_new: 6, col_id_new: 4, permute_kk: 4, permute_index: 772 

ij:: 135,  row_id_ori: 2, col_id_ori: 7, row_id_new: 6, col_id_new: 68, permute_kk: 4, permute_index: 836 

ij:: 136,  row_id_ori: 2, col_id_ori: 8, row_id_new: 8, col_id_new: 4, permute_kk: 4, permute_index: 1028 

ij:: 137,  row_id_ori: 2, col_id_ori: 9, row_id_new: 8, col_id_new: 68, permute_kk: 4, permute_index: 1092 

ij:: 138,  row_id_ori: 2, col_id_ori: 10, row_id_new: 10, col_id_new: 4, permute_kk: 4, permute_index: 1284 

ij:: 139,  row_id_ori: 2, col_id_ori: 11, row_id_new: 10, col_id_new: 68, permute_kk: 4, permute_index: 1348 

ij:: 140,  row_id_ori: 2, col_id_ori: 12, row_id_new: 12, col_id_new: 4, permute_kk: 4, permute_index: 1540 

ij:: 141,  row_id_ori: 2, col_id_ori: 13, row_id_new: 12, col_id_new: 68, permute_kk: 4, permute_index: 1604 

ij:: 142,  row_id_ori: 2, col_id_ori: 14, row_id_new: 14, col_id_new: 4, permute_kk: 4, permute_index: 1796 

ij:: 143,  row_id_ori: 2, col_id_ori: 15, row_id_new: 14, col_id_new: 68, permute_kk: 4, permute_index: 1860 

ij:: 144,  row_id_ori: 2, col_id_ori: 16, row_id_new: 16, col_id_new: 4, permute_kk: 4, permute_index: 2052 

ij:: 145,  row_id_ori: 2, col_id_ori: 17, row_id_new: 16, col_id_new: 68, permute_kk: 4, permute_index: 2116 

ij:: 146,  row_id_ori: 2, col_id_ori: 18, row_id_new: 18, col_id_new: 4, permute_kk: 4, permute_index: 2308 

ij:: 147,  row_id_ori: 2, col_id_ori: 19, row_id_new: 18, col_id_new: 68, permute_kk: 4, permute_index: 2372 

ij:: 148,  row_id_ori: 2, col_id_ori: 20, row_id_new: 20, col_id_new: 4, permute_kk: 4, permute_index: 2564 

ij:: 149,  row_id_ori: 2, col_id_ori: 21, row_id_new: 20, col_id_new: 68, permute_kk: 4, permute_index: 2628 

